AmpId	gene	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV
atpD_amp_5	atpD	5.0	36.0	III_15_10759C00219.1	III	III	15_10759C00219.1	14811.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_6	atpD	6.0	36.0	III_36_22311C00024.1	III	III	36_22311C00024.1	83464.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_7	atpD	7.0	36.0	III_37_9940C00343.1	III	III	37_9940C00343.1	27217.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_8	atpD	8.0	36.0	III_40_23543C00152.1	III	III	40_23543C00152.1	341270.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_9	atpD	9.0	36.0	III_41_22826C00124.1	III	III	41_22826C00124.1	9885.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_10	atpD	10.0	36.0	IV_16_6263.1	IV	IV	16_6263.1	1173782.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_11	atpD	11.0	36.0	IV_17_22599C00347.1	IV	IV	17_22599C00347.1	22443.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_12	atpD	12.0	36.0	IV_18_22602C00540.1	IV	IV	18_22602C00540.1	7007.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_13	atpD	13.0	36.0	IV_39_21414C00216.1	IV	IV	39_21414C00216.1	14301.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_14	atpD	14.0	36.0	IV_7_22597C00110.1	IV	IV	7_22597C00110.1	40534.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_15	atpD	15.0	36.0	IV_8_22598C00217.1	IV	IV	8_22598C00217.1	7786.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_16	atpD	16.0	36.0	I_1_22555C00006.1	I	I	1_22555C00006.1	253578.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_17	atpD	17.0	36.0	I_2_22603C00048.1	I	I	2_22603C00048.1	25512.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_18	atpD	18.0	36.0	I_35_18770C00013.1	I	I	35_18770C00013.1	81470.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_19	atpD	19.0	36.0	I_38_22827C00289.1	I	I	38_22827C00289.1	21282.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_20	atpD	20.0	36.0	I_5_22828C00041.2	I	I	5_22828C00041.2	11241.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_21	atpD	21.0	36.0	I_6_22825C00026.1	I	I	6_22825C00026.1	15982.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_22	atpD	22.0	36.0	Ia_21_284.1	Ia	I	21_284.1	6431819.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_23	atpD	23.0	36.0	Ia_22_14731C00011.1	Ia	I	22_14731C00011.1	13150.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_24	atpD	24.0	36.0	Ia_23_10528C00026.1	Ia	I	23_10528C00026.1	45790.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_25	atpD	25.0	36.0	Ia_24_14478C00016.1	Ia	I	24_14478C00016.1	11926.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_26	atpD	26.0	36.0	Ia_25_17329C00192.1	Ia	I	25_17329C00192.1	10944.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_27	atpD	27.0	36.0	Ia_26_17150C00178.1	Ia	I	26_17150C00178.1	12137.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_28	atpD	28.0	36.0	Ia_27_19479C00034.1	Ia	I	27_19479C00034.1	79124.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_29	atpD	29.0	36.0	Ia_28_14556C00046.1	Ia	I	28_14556C00046.1	13148.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_30	atpD	30.0	36.0	Ia_29_19480C00033.1	Ia	I	29_19480C00033.1	68512.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_31	atpD	31.0	36.0	Ia_30_6268C00097.1	Ia	I	30_6268C00097.1	41607.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_32	atpD	32.0	36.0	Ia_31_6270C00018.1	Ia	I	31_6270C00018.1	116967.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_33	atpD	33.0	36.0	Ic_32_1122.1	Ic	I	32_1122.1	4440129.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_34	atpD	34.0	36.0	Ic_33_6266C00024.1	Ic	I	33_6266C00024.1	23365.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_35	atpD	35.0	36.0	Ic_34_23503C00233.1	Ic	I	34_23503C00233.1	8619.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_36	atpD	36.0	36.0	I_3_22829C00031.2	I	I	3_22829C00031.2	5141.0	755.0	21.0	0.0	9.0	6.0
dnaA				No amplification									
rpoB				No amplification									
