family	strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM000073	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0
33_frankia_FAM000074	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM000075	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM000076	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1
33_frankia_FAM000077	2	1	1	2	1	2	0	1	2	0	2	2	1	1	1	1	1	1	1	0	2	1	1	0	3	1	1	3	1	2	3	2	3
33_frankia_FAM000078	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000079	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2
33_frankia_FAM000080	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	3	2	3
33_frankia_FAM000081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM000082	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
